match_id,MAX(points.SetWinner),MEAN(points.Rally),STD(points.Rally),SUM(points.P1Ace),SUM(points.P1BreakPoint),SUM(points.P1BreakPointMissed),SUM(points.P1BreakPointWon),SUM(points.P1DoubleFault),MEAN(points.P1FirstSrvIn),SUM(points.P1ForcedError),MAX(points.P1GamesWon),MAX(points.P1Momentum),SUM(points.P1NetPoint),SUM(points.P1NetPointWon),MAX(points.P1PointsWon),SUM(points.P1UnfErr),SUM(points.P1Winner),SUM(points.P2Ace),SUM(points.P2BreakPoint),SUM(points.P2BreakPointMissed),SUM(points.P2BreakPointWon),SUM(points.P2DoubleFault),MEAN(points.P2FirstSrvIn),SUM(points.P2ForcedError),MAX(points.P2GamesWon),MAX(points.P2Momentum),SUM(points.P2NetPoint),SUM(points.P2NetPointWon),MAX(points.P2PointsWon),SUM(points.P2UnfErr),SUM(points.P2Winner),P1_1st_serve_percentage,P1_2nd_serve_percentage,P2_1st_serve_percentage,P2_2nd_serve_percentage,Wimbledon,French_Open,US_Open,Aus_Open
2011-ausopen-2309,1,5.2,4.1994397385421625,0.0,2,0,2,0.0,0.34285714285714286,4.0,6.0,60,6,5,25.0,3.0,9.0,0.0,0,0,0,0.0,0.2857142857142857,5.0,1.0,13,4,2,9.0,11.0,2.0,0.75,1.0,0.3,0.6,0,0,0,1
2011-frenchopen-1136,1,0.42168674698795183,1.7469170190388499,0.0,3,2,1,0.0,0.27710843373493976,13.0,7.0,66,10,4,43.0,10.0,12.0,5.0,2,1,1,1.0,0.24096385542168675,15.0,6.0,60,11,6,39.0,16.0,16.0,0.6956521739130435,0.6666666666666666,0.75,0.5217391304347826,0,1,0,0
2011-frenchopen-1228,2,4.7254901960784315,5.325705329334507,1.0,0,0,0,0.0,0.21568627450980393,8.0,3.0,26,3,1,21.0,10.0,7.0,2.0,2,1,1,1.0,0.3333333333333333,3.0,6.0,52,9,6,29.0,11.0,11.0,0.6363636363636364,0.6363636363636364,0.8823529411764706,0.6,0,1,0,0
2011-usopen-1109,1,3.4565217391304346,3.2434996308112107,1.0,3,1,2,1.0,0.2826086956521739,7.0,6.0,53,6,6,29.0,8.0,10.0,0.0,0,0,0,2.0,0.2826086956521739,8.0,2.0,12,1,1,16.0,11.0,1.0,0.8461538461538461,0.8333333333333334,0.5384615384615384,0.5,0,0,1,0
2011-wimbledon-2121,1,3.7948717948717947,3.3652988228894967,1.0,3,0,3,1.0,0.3076923076923077,7.0,6.0,68,4,3,26.0,4.0,12.0,0.0,0,0,0,2.0,0.46153846153846156,10.0,0.0,10,4,2,12.0,4.0,1.0,0.75,0.8,0.3888888888888889,,1,0,0,0
2011-ausopen-1232,2,5.842105263157895,5.479798854768469,2.0,0,0,0,1.0,0.47368421052631576,13.0,2.0,12,4,2,22.0,10.0,5.0,2.0,5,3,2,0.0,0.24561403508771928,9.0,6.0,66,11,10,34.0,8.0,11.0,0.5185185185185185,0.5,0.9285714285714286,0.5,0,0,0,1
2011-ausopen-1115,1,5.540983606557377,4.9550437956080104,0.0,5,3,2,0.0,0.4426229508196721,8.0,6.0,57,8,6,34.0,9.0,9.0,1.0,4,3,1,1.0,0.18032786885245902,7.0,3.0,21,12,7,26.0,18.0,9.0,0.6296296296296297,0.5714285714285714,0.6363636363636364,0.42857142857142855,0,0,0,1
2011-frenchopen-2109,2,4.021739130434782,4.519041837650409,1.0,1,0,1,5.0,0.21739130434782608,10.0,1.0,12,2,2,15.0,15.0,3.0,0.0,5,2,3,1.0,0.41304347826086957,4.0,6.0,47,3,2,30.0,8.0,5.0,0.5,0.4,0.7368421052631579,,0,1,0,0
2011-ausopen-1203,2,3.6296296296296298,3.857344361165458,5.0,0,0,0,1.0,0.4074074074074074,12.0,4.0,31,7,5,24.0,13.0,11.0,1.0,5,4,1,0.0,0.3148148148148148,9.0,6.0,53,1,1,29.0,4.0,4.0,0.7727272727272727,0.5,0.9411764705882353,0.5714285714285714,0,0,0,1
2011-ausopen-2157,1,3.8870967741935485,2.9593133824249267,1.0,2,0,2,2.0,0.3709677419354839,6.0,6.0,49,12,5,33.0,18.0,10.0,0.0,3,2,1,0.0,0.22580645161290322,13.0,4.0,18,4,1,28.0,10.0,4.0,0.6521739130434783,0.5833333333333334,0.35714285714285715,0.8,0,0,0,1
