match_id,winner
2011-ausopen-2309,1
2011-frenchopen-1136,2
2011-frenchopen-1228,2
2011-usopen-1109,1
2011-wimbledon-2121,1
2011-ausopen-1232,2
2011-ausopen-1115,1
2011-frenchopen-2109,1
2011-ausopen-1203,1
2011-ausopen-2157,1
2011-usopen-2125,1
2011-frenchopen-2602,1
2011-frenchopen-1311,1
2011-usopen-2701,2
2011-wimbledon-1220,2
2011-usopen-1149,1
2011-wimbledon-1502,1
2011-frenchopen-2401,2
2011-frenchopen-1501,1
2011-frenchopen-2126,2
2011-ausopen-2303,2
2011-wimbledon-2303,2
2011-usopen-1309,2
2011-usopen-1135,1
2011-ausopen-1205,1
2011-usopen-1124,1
2011-ausopen-2311,2
2011-usopen-2221,1
2011-ausopen-2206,2
2011-frenchopen-2601,2
2011-wimbledon-2232,2
2011-usopen-2145,1
2011-usopen-2159,2
2011-frenchopen-2206,2
2011-ausopen-2224,2
2011-wimbledon-2504,1
2011-frenchopen-1154,2
2011-frenchopen-1125,2
2011-frenchopen-1135,1
2011-ausopen-2217,2
2011-ausopen-1310,2
2011-frenchopen-1404,2
2011-ausopen-2228,2
2011-frenchopen-2112,2
2011-wimbledon-1304,2
2011-usopen-1311,1
2011-usopen-1314,1
2011-wimbledon-1105,1
2011-frenchopen-1105,1
2011-frenchopen-1316,2
2011-ausopen-1309,1
2011-wimbledon-1209,1
2011-ausopen-2148,2
2011-ausopen-2314,1
2011-ausopen-1114,1
2011-wimbledon-1226,2
2011-ausopen-2211,2
2011-usopen-1306,1
2011-ausopen-2134,2
2011-usopen-1117,1
2011-ausopen-2404,1
2011-usopen-1312,2
2011-wimbledon-1307,2
2011-frenchopen-1207,2
2011-usopen-1108,2
2011-ausopen-1403,2
2011-frenchopen-2116,2
2011-frenchopen-2105,2
2011-ausopen-2601,2
2011-frenchopen-1164,2
2011-frenchopen-1701,1
2011-frenchopen-1315,1
2011-wimbledon-1403,1
2011-usopen-2307,2
2011-usopen-2228,2
2011-usopen-2502,1
2011-frenchopen-1405,2
2011-usopen-2601,2
2011-wimbledon-2132,2
2011-ausopen-1220,2
2011-frenchopen-1401,1
2011-usopen-2121,1
2011-ausopen-2407,1
2011-usopen-1204,1
2011-usopen-2120,2
2011-ausopen-1156,2
2011-ausopen-2307,1
2011-ausopen-2219,2
2011-wimbledon-1312,2
2011-usopen-2408,2
2011-wimbledon-1205,1
2011-ausopen-2126,1
2011-frenchopen-1230,2
2011-usopen-1408,2
2011-frenchopen-1147,2
2011-ausopen-1112,2
2011-usopen-2215,2
2011-frenchopen-1306,2
2011-frenchopen-2137,2
2011-ausopen-2214,2
2011-ausopen-2109,1
2011-ausopen-1303,2
2011-ausopen-1153,1
2011-ausopen-2133,1
2011-wimbledon-2601,1
2011-ausopen-1228,2
2011-usopen-1216,2
2011-ausopen-2401,1
2011-wimbledon-1501,1
2011-frenchopen-2149,1
2011-usopen-1125,1
2011-ausopen-1108,2
2011-ausopen-1226,1
2011-frenchopen-2130,2
2011-frenchopen-1140,2
2011-ausopen-1216,2
2011-ausopen-2105,1
2011-wimbledon-2401,2
2011-wimbledon-2315,2
2011-ausopen-2156,2
2011-usopen-2148,2
2011-ausopen-1314,1
2011-ausopen-1224,2
2011-ausopen-1218,2
2011-frenchopen-1502,1
2011-wimbledon-2111,1
2011-ausopen-2306,2
2011-ausopen-2144,1
2011-wimbledon-1405,2
2011-ausopen-2225,1
2011-ausopen-1311,1
2011-frenchopen-2232,1
2011-wimbledon-1211,1
2011-ausopen-1144,2
2011-usopen-2225,2
2011-wimbledon-2304,2
2011-ausopen-2136,1
2011-frenchopen-1302,1
2011-ausopen-1152,2
2011-frenchopen-2315,1
2011-frenchopen-1212,2
2011-wimbledon-1314,1
2011-frenchopen-2125,1
2011-usopen-1401,1
2011-usopen-1201,1
2011-wimbledon-2116,2
2011-frenchopen-1159,2
2011-frenchopen-1408,2
2011-wimbledon-1311,2
2011-wimbledon-2209,2
2011-frenchopen-2132,2
2011-frenchopen-1210,2
2011-ausopen-2402,2
2011-frenchopen-1220,2
2011-frenchopen-1156,2
2011-usopen-1132,2
2011-wimbledon-1164,2
2011-usopen-2305,2
2011-ausopen-2223,2
2011-usopen-2229,2
2011-ausopen-2132,2
2011-usopen-2303,1
